SERVICE REQUEST #,DATE RECEIVED,LOT LOCATION,DANGEROUS OR HAZARDOUS?,Dangerous flag,OPEN OR BOARDED?,Open flag,ENTRY POINT,VACANT OR OCCUPIED?,Vacant flag,VACANT DUE TO FIRE?,Fire flag,ANY PEOPLE USING PROPERTY?,In use flag,ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,Full Address,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,Location
11-00001710,01/01/2011,Front,,2,Open,1,REAR,Vacant,1,,0,,0,1427,S,ST LOUIS,AVE,60623,1427 S ST LOUIS AVE chicago IL 60623,1153268.14610007,1892910.36801408,41.861991117568905,-87.71285525975965,"41.861991117568905,-87.71285525975965"
11-00001993,01/01/2011,Front,,2,Open,1,FRONT AND REAR,Vacant,1,,0,1,1,952,N,LOCKWOOD,AVE,60651,952 N LOCKWOOD AVE chicago IL 60651,1140849.70919731,1905836.05189713,41.89769807845251,-87.75812394284395,"41.89769807845251,-87.75812394284395"
11-00002159,01/01/2011,Front,,2,Open,1,,Vacant,1,,0,1,1,4046,W,PALMER,ST,60639,4046 W PALMER ST chicago IL 60639,1148946.422618,1914312.93159061,41.92080665863923,-87.72816564560988,"41.92080665863923,-87.72816564560988"
11-00002535,01/01/2011,Front,,2,Open,1,SIDE DR,Vacant,1,,0,1,1,9136,S,CARPENTER,ST,60620,9136 S CARPENTER ST chicago IL 60620,1170922.08966622,1844225.68972654,41.72802658720868,-87.64947225457534,"41.72802658720868,-87.64947225457534"
11-00002627,01/01/2011,Front,,2,Open,1,REAR DOOR AND GARAGE IS OPEN,Vacant,1,,0,,0,8200,S,TALMAN,AVE,60652,8200 S TALMAN AVE chicago IL 60652,1160132.32077264,1850161.37970887,41.744543509267515,-87.68883456043969,"41.744543509267515,-87.68883456043969"
11-00002926,01/01/2011,Front,,2,Open,1,ALL DOORS AND WINDOWS,Vacant,1,,0,1,1,2642,W,WILCOX,ST,60612,2642 W WILCOX ST chicago IL 60612,1158777.63143002,1899255.44661489,41.87929159238292,-87.69245683699296,"41.87929159238292,-87.69245683699296"
11-00003866,01/02/2011,Front,,2,Open,1,FRONT,Vacant,1,,0,1,1,4813,S,WOOD,ST,60609,4813 S WOOD ST chicago IL 60609,1165159.19071745,1872776.87307521,41.80649860878734,-87.6697760057757,"41.80649860878734,-87.6697760057757"
11-00003977,01/02/2011,Front,,2,Boarded,0,SIDE,Vacant,1,,0,1,1,10357,S,AVENUE L,,60617,10357 S AVENUE L  chicago IL 60617,1201831.77168224,1836889.71187722,41.707166442237195,-87.53649515949978,"41.707166442237195,-87.53649515949978"
11-00003999,01/02/2011,Front,,2,Boarded,0,REAR DR,Vacant,1,,0,1,1,11826,S,YALE,AVE,60628,11826 S YALE AVE chicago IL 60628,1176736.83891281,1826516.11648117,41.67930025439897,-87.62870262510032,"41.67930025439897,-87.62870262510032"
11-00004013,01/02/2011,Front,,2,Open,1,,Vacant,1,,0,1,1,6154,W,PATTERSON,AVE,60634,6154 W PATTERSON AVE chicago IL 60634,1134696.44357218,1923631.06871859,41.94664068148355,-87.78030307322024,"41.94664068148355,-87.78030307322024"
11-00004026,01/02/2011,Front,,2,Open,1,,Vacant,1,,0,,0,622,N,LARAMIE,AVE,60644,622 N LARAMIE AVE chicago IL 60644,1141584.38322814,1903645.42988354,41.8916732028274,-87.75547971911512,"41.8916732028274,-87.75547971911512"
11-00004211,01/02/2011,Front,,2,Open,1,FRONT AND THE REAR,Vacant,1,,0,,0,1045,W,111TH,ST,60643,1045 W 111TH ST chicago IL 60643,1171332.2797831,1831204.19190357,41.69228468273412,-87.64834910499147,"41.69228468273412,-87.64834910499147"
11-00004253,01/02/2011,Front,,2,Open,1,WINDOWS,Vacant,1,,0,,0,1728,N,MOODY,AVE,60639,1728 N MOODY AVE chicago IL 60639,1135148.70029287,1910847.43231954,41.911552912353244,-87.77894450813535,"41.911552912353244,-87.77894450813535"
11-00004468,01/02/2011,Front,,2,Open,1,DOORS AND WINDOWS,Vacant,1,,0,1,1,5094,W,GLADYS,AVE,60644,5094 W GLADYS AVE chicago IL 60644,1142251.16023319,1897857.00781633,41.875776711776425,-87.75317463387078,"41.875776711776425,-87.75317463387078"
11-00004704,01/02/2011,Front,,2,Open,1,DOORS AND WINDOWS UNSECURED,Vacant,1,,0,1,1,5224,S,MAY,ST,60609,5224 S MAY ST chicago IL 60609,1169539.15458772,1870148.6629895,41.79919259444706,-87.65378801047098,"41.79919259444706,-87.65378801047098"
11-00005151,01/03/2011,Front,,2,Open,1,,Vacant,1,,0,,0,4315,W,25TH,PL,60623,4315 W 25TH PL chicago IL 60623,1148196.4146142,1886707.40578755,41.845068476552775,-87.73163251152093,"41.845068476552775,-87.73163251152093"
11-00005154,01/03/2011,Front,,2,Open,1,,Vacant,1,,0,,0,4322,W,JACKSON,BLVD,60624,4322 W JACKSON BLVD chicago IL 60624,1147621.5504672,1898336.3192796,41.87699069375076,-87.73344401948987,"41.87699069375076,-87.73344401948987"
11-00005157,01/03/2011,Front,,2,Open,1,,Vacant,1,,0,,0,2155,W,PIERCE,AVE,60622,2155 W PIERCE AVE chicago IL 60622,1161751.15102788,1910213.71001171,41.90930050590516,-87.68123274942359,"41.90930050590516,-87.68123274942359"
11-00005158,01/03/2011,Front,,2,Open,1,,Vacant,1,,0,,0,5500,W,ARDMORE,AVE,60646,5500 W ARDMORE AVE chicago IL 60646,1138773.02998643,1937961.68093423,41.98589200661507,-87.76496911176446,"41.98589200661507,-87.76496911176446"
11-00005470,01/03/2011,Front,,2,Open,1,DOORS,Vacant,1,,0,1,1,9340,S,LOOMIS,ST,60620,9340 S LOOMIS ST chicago IL 60620,1168636.49271505,1842808.71907114,41.724187733323205,-87.65788555556168,"41.724187733323205,-87.65788555556168"
11-00005491,01/03/2011,Front,,2,Open,1,,Vacant,1,,0,,0,5016,S,KNOX,AVE,60632,5016 S KNOX AVE chicago IL 60632,1146206.99596914,1870961.94648355,41.80189866761272,-87.73933300423778,"41.80189866761272,-87.73933300423778"
11-00005531,01/03/2011,Front,,2,Open,1,ALL AROUND,Vacant,1,,0,,0,109,W,109TH,ST,60628,109 W 109TH ST chicago IL 60628,1177474.17200467,1832679.48822786,41.69619688223708,-87.62581840089533,"41.69619688223708,-87.62581840089533"
11-00005864,01/03/2011,Rear,,2,Open,1,BACK DOOR,Vacant,1,,0,1,1,8131,S,MANISTEE,AVE,60617,8131 S MANISTEE AVE chicago IL 60617,1195915.72952348,1851585.32908157,41.74764067819399,-87.55767430039351,"41.74764067819399,-87.55767430039351"
11-00006919,01/03/2011,Front,,2,Open,1,,Vacant,1,1,1,1,1,6426,S,ST LAWRENCE,AVE,60637,6426 S ST LAWRENCE AVE chicago IL 60637,1181339.11810134,1862533.25939701,41.778031100405556,-87.61074974794406,"41.778031100405556,-87.61074974794406"
11-00006970,01/03/2011,Front,,2,Open,1,,Vacant,1,,0,1,1,1244,W,95TH,ST,60643,1244 W 95TH ST chicago IL 60643,1169597.87609943,1841771.24098968,41.72131998571522,-87.65439400833088,"41.72131998571522,-87.65439400833088"
11-00006987,01/03/2011,Front,,2,Open,1,,Vacant,1,,0,1,1,9503,S,TORRENCE,AVE,60617,9503 S TORRENCE AVE chicago IL 60617,1195397.99002853,1842378.68998096,41.722389672253755,-87.55987458984909,"41.722389672253755,-87.55987458984909"
11-00007396,01/03/2011,Front,,2,Open,1,FRONT AND REAR DOOR,Vacant,1,1,1,1,1,7042,S,WOLCOTT,AVE,60636,7042 S WOLCOTT AVE chicago IL 60636,1164904.0854912,1857972.35138153,41.76587852089379,-87.67112983957914,"41.76587852089379,-87.67112983957914"
11-00007492,01/03/2011,Rear,,2,Open,1,REAR HOUSE  VACANT OPEN,Vacant,1,,0,1,1,5724,S,PRINCETON,AVE,60621,5724 S PRINCETON AVE chicago IL 60621,1175264.53312672,1866985.18700674,41.790385573195294,-87.63288628340092,"41.790385573195294,-87.63288628340092"
11-00007524,01/03/2011,,,2,,2,,,2,,0,,0,7027,S,DR MARTIN LUTHER KING JR,DR,60637,7027 S DR MARTIN LUTHER KING JR DR chicago IL 60637,1180136.28659506,1858400.8498672,41.766718999638414,-87.61528581251058,"41.766718999638414,-87.61528581251058"
11-00007640,01/03/2011,Front,,2,Boarded,0,REAR WINDOW,Vacant,1,,0,1,1,7758,S,SANGAMON,ST,60620,7758 S SANGAMON ST chicago IL 60620,1171320.12488047,1853388.27740889,41.75316128626483,-87.64774678319678,"41.75316128626483,-87.64774678319678"
11-00007856,01/03/2011,Front,,2,Open,1,FRONT AND REAR DOORS,Vacant,1,,0,1,1,1300,N,SEDGWICK,ST,60610,1300 N SEDGWICK ST chicago IL 60610,1173416.69293427,1908936.44020435,41.90554425270345,-87.6384170503614,"41.90554425270345,-87.6384170503614"
11-00008110,01/03/2011,Front,,2,Open,1,WINDOW AND DOORS,Vacant,1,1,1,,0,4936,W,CORTEZ,ST,60651,4936 W CORTEZ ST chicago IL 60651,1143260.5417086,1906532.0073786,41.8995631639822,-87.74925170588533,"41.8995631639822,-87.74925170588533"
11-00008536,01/03/2011,Front,,2,Open,1,ALL,Vacant,1,1,1,,0,7817,S,WABASH,AVE,60619,7817 S WABASH AVE chicago IL 60619,1178066.51208279,1853197.30082838,41.752487041698274,-87.623029769198,"41.752487041698274,-87.623029769198"
11-00008853,01/03/2011,Front,,2,Boarded,0,,Vacant,1,1,1,1,1,3824,W,GLADYS,AVE,60624,3824 W GLADYS AVE chicago IL 60624,1150942.02547014,1898083.63151571,41.87623295801059,-87.72125874042379,"41.87623295801059,-87.72125874042379"
11-00009021,01/03/2011,Rear,,2,Open,1,,Vacant,1,,0,,0,3824,W,FLOURNOY,ST,60624,3824 W FLOURNOY ST chicago IL 60624,1151031.05999254,1896758.29010655,41.87259433064226,-87.72096655121872,"41.87259433064226,-87.72096655121872"
11-00009824,01/03/2011,Front,,2,Open,1,,Vacant,1,,0,1,1,7119,S,SPAULDING,AVE,60629,7119 S SPAULDING AVE chicago IL 60629,1155600.49997289,1857215.57178034,41.76399329098696,-87.70525117935843,"41.76399329098696,-87.70525117935843"
11-00010622,01/03/2011,Front,,2,Open,1,"FRONT,REAR",Vacant,1,,0,,0,2251,S,DRAKE,AVE,60623,2251 S DRAKE AVE chicago IL 60623,1153054.96138095,1888772.61790888,41.85064087478168,-87.71374743655579,"41.85064087478168,-87.71374743655579"
11-00010725,01/03/2011,Front,,2,Open,1,GATES HAVE BEEN REMOVED FROM THE REAR.. ANYONE CAN DRIVE RIGHT UP INTO THE BACK YARD .. PLS SECURE...,Vacant,1,,0,,0,8358,S,MORGAN,ST,60620,8358 S MORGAN ST chicago IL 60620,1171103.46209717,1849399.26917635,41.74221965243196,-87.6486570879762,"41.74221965243196,-87.6486570879762"
11-00011247,01/03/2011,Front,,2,Open,1,FRONT,Vacant,1,,0,1,1,7218,S,ABERDEEN,ST,60621,7218 S ABERDEEN ST chicago IL 60621,1170231.5999907,1856944.10752165,41.762942678908004,-87.65163254724456,"41.762942678908004,-87.65163254724456"
11-00011524,01/03/2011,Rear,,2,Open,1,,Vacant,1,,0,,0,8000,S,EXCHANGE,AVE,60617,8000 S EXCHANGE AVE chicago IL 60617,1197220.00537413,1852491.3838838,41.75009459594315,-87.55286503109475,"41.75009459594315,-87.55286503109475"
11-00011527,01/03/2011,Front,,2,Open,1,,Vacant,1,,0,,0,2810,E,78TH,ST,60649,2810 E 78TH ST chicago IL 60649,1196178.71040557,1853785.72922427,41.75367223233837,-87.55663789497852,"41.75367223233837,-87.55663789497852"
11-00011789,01/03/2011,Front,,2,Open,1,FRONT AND REAR DOORS ARE OPEN,Vacant,1,,0,1,1,6542,S,EBERHART,AVE,60637,6542 S EBERHART AVE chicago IL 60637,1180700.25352743,1861742.8968754,41.77587697529118,-87.61311609125929,"41.77587697529118,-87.61311609125929"
11-00012014,01/03/2011,Front,,2,Open,1,REAR BSMNT OPEN/UNSECURED,Vacant,1,,0,1,1,2704,E,77TH,ST,60649,2704 E 77TH ST chicago IL 60649,1195676.26657408,1854432.24317922,41.75545874711664,-87.55845779502319,"41.75545874711664,-87.55845779502319"
11-00012789,01/04/2011,Front,,2,Open,1,,Vacant,1,,0,,0,9104,S,AVALON,AVE,60619,9104 S AVALON AVE chicago IL 60619,1186122.81517573,1844865.27939,41.72943680513407,-87.59376955447581,"41.72943680513407,-87.59376955447581"
11-00012794,01/04/2011,Front,,2,Open,1,,Vacant,1,,0,,0,7450,S,LUELLA,AVE,60649,7450 S LUELLA AVE chicago IL 60649,1192496.08962733,1856337.75300941,41.76076562882422,-87.57005015459693,"41.76076562882422,-87.57005015459693"
11-00012799,01/04/2011,Front,,2,Open,1,,Vacant,1,,0,,0,1324,S,KEELER,AVE,60623,1324 S KEELER AVE chicago IL 60623,1148594.9610772,1893547.92463292,41.86383204858967,-87.729993488174,"41.86383204858967,-87.729993488174"
11-00012809,01/04/2011,Front,,2,Open,1,,Vacant,1,,0,,0,4319,W,25TH,PL,60623,4319 W 25TH PL chicago IL 60623,1148155.3146142,1886706.30578755,41.845066248085466,-87.73178337315746,"41.845066248085466,-87.73178337315746"
11-00012932,01/04/2011,Front,,2,Open,1,,Vacant,1,,0,,0,10940,S,MICHIGAN,AVE,60628,10940 S MICHIGAN AVE chicago IL 60628,1178846.73890304,1832443.09728009,41.69551714251133,-87.62080010523815,"41.69551714251133,-87.62080010523815"
11-00013117,01/04/2011,Front,,2,Open,1,FRONT DOOR,Vacant,1,,0,,0,457,N,UNION,AVE,60654,457 N UNION AVE chicago IL 60654,1171424.75342616,1903405.86420669,41.890412071890935,-87.64589684299958,"41.890412071890935,-87.64589684299958"
11-00013618,01/04/2011,Front,,2,Open,1,FRONT,Vacant,1,,0,,0,10505,S,WENTWORTH,AVE,60628,10505 S WENTWORTH AVE chicago IL 60628,1176809.21293404,1835268.3539219,41.70331606593407,-87.6281754471661,"41.70331606593407,-87.6281754471661"
11-00013719,01/04/2011,Front,,2,Open,1,,Vacant,1,,0,,0,12334,S,LOWE,AVE,60628,12334 S LOWE AVE chicago IL 60628,1174183.61002497,1823087.89000804,41.66994956617913,-87.63814972577123,"41.66994956617913,-87.63814972577123"
11-00014149,01/04/2011,Front,,2,Open,1,,Vacant,1,,0,,0,604,W,60TH,ST,60621,604 W 60TH ST chicago IL 60621,1173270.19989645,1864884.33219133,41.784664953301096,-87.6402610474015,"41.784664953301096,-87.6402610474015"
11-00014307,01/04/2011,Front,,2,Open,1,,Vacant,1,,0,,0,5239,S,BISHOP,ST,60609,5239 S BISHOP ST chicago IL 60609,1167555.21537149,1870000.08152919,41.79882767826802,-87.66106785504658,"41.79882767826802,-87.66106785504658"
11-00014315,01/04/2011,Front,,2,Open,1,,Vacant,1,,0,,0,6428,S,CHAMPLAIN,AVE,60637,6428 S CHAMPLAIN AVE chicago IL 60637,1181672.35618384,1862530.70731379,41.77801640692463,-87.6095281769902,"41.77801640692463,-87.6095281769902"
11-00014322,01/04/2011,Front,,2,Open,1,,Vacant,1,,0,,0,6016,S,SANGAMON,ST,60621,6016 S SANGAMON ST chicago IL 60621,1171005.18928181,1864936.38770118,41.78485759979727,-87.64856396971386,"41.78485759979727,-87.64856396971386"
11-00014328,01/04/2011,Front,,2,Open,1,,Vacant,1,,0,,0,6729,S,GREEN,ST,60621,6729 S GREEN ST chicago IL 60621,1171796.9201108,1860228.63508888,41.77192163839974,-87.64579915846953,"41.77192163839974,-87.64579915846953"
11-00015084,01/04/2011,Front,,2,Open,1,ENTRY GARAGE DOOR,Vacant,1,,0,1,1,9121,S,HARPER,AVE,60619,9121 S HARPER AVE chicago IL 60619,1188039.84800624,1844797.11727428,41.729204347414395,-87.58674921632564,"41.729204347414395,-87.58674921632564"
11-00015119,01/04/2011,Front,,2,Open,1,FRONT,Vacant,1,,0,,0,12411,S,PRINCETON,AVE,60628,12411 S PRINCETON AVE chicago IL 60628,1176529.80727396,1822631.710175,41.66864547678094,-87.62957656953313,"41.66864547678094,-87.62957656953313"
11-00016012,01/04/2011,Front,,2,Open,1,"TIRE ON SIDE OF BLDG, PEOPLE GETTING ON TIRE TO GET INTO BLDG, ALL WINDOWS BROKEN, NO ADDRESS ON BLDG, NEXT VACANT LOT",Vacant,1,,0,1,1,2844,W,ARTHINGTON,ST,60612,2844 W ARTHINGTON ST chicago IL 60612,1157540.54333022,1895911.88288399,41.87014178227911,-87.69709023661116,"41.87014178227911,-87.69709023661116"
11-00016013,01/04/2011,Front,,2,Open,1,FRONT,Vacant,1,,0,1,1,9730,S,MERRILL,AVE,60617,9730 S MERRILL AVE chicago IL 60617,1192378.1403696,1840862.71680579,41.7183036134315,-87.57098485802842,"41.7183036134315,-87.57098485802842"
11-00016246,01/04/2011,Front,,2,Open,1,,Vacant,1,,0,1,1,7354,S,CRANDON,AVE,60649,7354 S CRANDON AVE chicago IL 60649,1192818.82150668,1856646.07990929,41.76160383775079,-87.56885730621299,"41.76160383775079,-87.56885730621299"
11-00016444,01/04/2011,Front,,2,Open,1,FRONT-REAR,Vacant,1,,0,,0,9949,S,YATES,AVE,60617,9949 S YATES AVE chicago IL 60617,1194134.1269269,1839474.09709144,41.7144502582508,-87.56459885558546,"41.7144502582508,-87.56459885558546"
11-00016534,01/04/2011,Front,,2,Open,1,,Vacant,1,,0,1,1,6651,S,ST LAWRENCE,AVE,60637,6651 S ST LAWRENCE AVE chicago IL 60637,1181378.37270842,1861041.92981008,41.77393784215088,-87.61065178488282,"41.77393784215088,-87.61065178488282"
11-00017657,01/04/2011,Front,,2,Open,1,FRONT,Vacant,1,1,1,1,1,2031,N,KEELER,AVE,60639,2031 N KEELER AVE chicago IL 60639,1148056.33428273,1913165.59832701,41.917675456535044,-87.73146563587247,"41.917675456535044,-87.73146563587247"
11-00018612,01/04/2011,Front,,2,Open,1,,Vacant,1,,0,1,1,2502,S,AVERS,AVE,60623,2502 S AVERS AVE chicago IL 60623,1151107.34859005,1887106.32378553,41.84610669605468,-87.72093921775766,"41.84610669605468,-87.72093921775766"
11-00018662,01/04/2011,Front,,2,Open,1,FRONT,Vacant,1,,0,,0,5750,S,MARSHFIELD,AVE,60636,5750 S MARSHFIELD AVE chicago IL 60636,1166315.40711464,1866909.71329551,41.79037385434707,-87.66570252490688,"41.79037385434707,-87.66570252490688"
11-00019246,01/05/2011,Front,,2,Open,1,,Vacant,1,,0,,0,4746,W,MAYPOLE,AVE,60644,4746 W MAYPOLE AVE chicago IL 60644,1144698.74858028,1901040.90906881,41.88446796988522,-87.7441076187973,"41.88446796988522,-87.7441076187973"
11-00019336,01/05/2011,Front,,2,Open,1,,Vacant,1,,0,,0,4938,W,NEWPORT,AVE,60641,4938 W NEWPORT AVE chicago IL 60641,1142817.64976681,1922483.78681576,41.94334476554247,-87.75048023537065,"41.94334476554247,-87.75048023537065"
11-00019515,01/05/2011,Front,,2,Open,1,BASEMENT DOOR AND BACKYARD WINDOW WAS KICKED IN,Vacant,1,,0,,0,3105,N,MONITOR,AVE,60634,3105 N MONITOR AVE chicago IL 60634,1136839.36817613,1920044.63611142,41.936760924255935,-87.77251244624149,"41.936760924255935,-87.77251244624149"
11-00019596,01/05/2011,Front,,2,Open,1,,Vacant,1,,0,,0,5612,S,WELLS,ST,60621,5612 S WELLS ST chicago IL 60621,1175559.82419995,1867714.6893797,41.79238079534491,-87.63178170637853,"41.79238079534491,-87.63178170637853"
11-00020586,01/05/2011,,,2,,2,,,2,,0,,0,1335,W,110TH,PL,60643,1335 W 110TH PL chicago IL 60643,1169395.79367371,1831489.19607543,41.69310882001846,-87.65543067500572,"41.69310882001846,-87.65543067500572"
11-00020983,01/05/2011,Front,,2,Open,1,,Vacant,1,,0,,0,11925,S,NORMAL,AVE,60628,11925 S NORMAL AVE chicago IL 60628,1175112.77788418,1825822.82800502,41.677434055006955,-87.63466792627673,"41.677434055006955,-87.63466792627673"
11-00021160,01/05/2011,,,2,,2,,,2,,0,,0,539,E,62ND,ST,60637,539 E 62ND ST chicago IL 60637,1181002.01897756,1864023.1667208,41.78212731509062,-87.61193973041141,"41.78212731509062,-87.61193973041141"
11-00021238,01/05/2011,Front,,2,Open,1,FRONT DOOR IS OPEN UN BOARDED,Vacant,1,,0,,0,9622,S,WINSTON,AVE,60643,9622 S WINSTON AVE chicago IL 60643,1168116.21510577,1840917.67730116,41.7190096141879,-87.65984550827918,"41.7190096141879,-87.65984550827918"
11-00021353,01/05/2011,Front,,2,Open,1,,Vacant,1,,0,,0,6919,S,ASHLAND,AVE,60636,6919 S ASHLAND AVE chicago IL 60636,1166873.38111811,1858834.40332473,41.76820227462638,-87.66388709247529,"41.76820227462638,-87.66388709247529"
11-00021356,01/05/2011,Rear,,2,Open,1,BACK DOOR,Vacant,1,,0,1,1,4857,W,IOWA,ST,60651,4857 W IOWA ST chicago IL 60651,1143809.03411602,1905540.61870827,41.896832416342896,-87.74726194610747,"41.896832416342896,-87.74726194610747"
11-00021372,01/05/2011,Rear,,2,Open,1,,Vacant,1,,0,1,1,8300,S,SANGAMON,ST,60620,8300 S SANGAMON ST chicago IL 60620,1171416.03491317,1849797.04831042,41.74330438173184,-87.64750020884983,"41.74330438173184,-87.64750020884983"
11-00021955,01/05/2011,Front,,2,Open,1,DOORS AND WINDOWS,Vacant,1,,0,,0,1314,W,WEBSTER,AVE,60614,1314 W WEBSTER AVE chicago IL 60614,1167139.56232475,1914750.90316827,41.92163671704254,-87.66130759158953,"41.92163671704254,-87.66130759158953"
11-00021988,01/05/2011,Front,,2,Open,1,DOORS AND WINDOWS,Vacant,1,,0,,0,1318,W,WEBSTER,AVE,60614,1318 W WEBSTER AVE chicago IL 60614,1167096.16232475,1914750.00316827,41.921635180570284,-87.66146707974548,"41.921635180570284,-87.66146707974548"
11-00022340,01/05/2011,Front,,2,Open,1,NOT BOARDED UP AT ALL,Vacant,1,,0,,0,2804,S,RIDGEWAY,AVE,60623,2804 S RIDGEWAY AVE chicago IL 60623,1151826.42669357,1885101.12838087,41.84059008807713,-87.71835292245532,"41.84059008807713,-87.71835292245532"
11-00022429,01/05/2011,Garage,,2,Open,1,GARAGE,Vacant,1,1,1,1,1,6320,S,CAMPBELL,AVE,60629,6320 S CAMPBELL AVE chicago IL 60629,1160789.70083271,1862670.24028558,41.77885612787131,-87.68608094997809,"41.77885612787131,-87.68608094997809"
11-00023205,01/05/2011,Garage,,2,Open,1,GARAGE,Occupied,0,1,1,1,1,6318,S,CAMPBELL,AVE,60629,6318 S CAMPBELL AVE chicago IL 60629,1160789.30083271,1862683.64028558,41.7788929075944,-87.68608204665856,"41.7788929075944,-87.68608204665856"
11-00023233,01/05/2011,Front,,2,Open,1,FRONT,Vacant,1,1,1,1,1,6324,S,CAMPBELL,AVE,60629,6324 S CAMPBELL AVE chicago IL 60629,1160790.50083271,1862643.44028558,41.77878256842442,-87.68607875662015,"41.77878256842442,-87.68607875662015"
11-00023242,01/05/2011,Front,,2,Open,1,FRONT AND BACK DOOR OPEN NOT BOARDED UP,Vacant,1,,0,,0,7407,S,UNION,AVE,60621,7407 S UNION AVE chicago IL 60621,1172914.82973149,1855770.83187003,41.759664293237016,-87.64183263544437,"41.759664293237016,-87.64183263544437"
11-00023284,01/05/2011,Front,,2,Open,1,,Vacant,1,,0,,0,6241,S,CAMPBELL,AVE,60629,6241 S CAMPBELL AVE chicago IL 60629,1160775.38726875,1863194.10212511,41.78029397298881,-87.68611897011779,"41.78029397298881,-87.68611897011779"
11-00023434,01/05/2011,Front,,2,Open,1,,Vacant,1,,0,,0,3441,W,GRAND,AVE,60651,3441 W GRAND AVE chicago IL 60651,1153243.61111959,1906972.86149927,41.90058054829488,-87.71257193716876,"41.90058054829488,-87.71257193716876"
11-00023474,01/05/2011,Front,,2,Open,1,,Vacant,1,,0,,0,6223,S,CAMPBELL,AVE,60629,6223 S CAMPBELL AVE chicago IL 60629,1160772.18726875,1863315.10212511,41.78062607979888,-87.68612736308135,"41.78062607979888,-87.68612736308135"
11-00023627,01/05/2011,Front,,2,Open,1,BACK DOOR,Vacant,1,,0,1,1,5716,S,WOLCOTT,AVE,60636,5716 S WOLCOTT AVE chicago IL 60636,1164663.83860938,1866763.40442813,41.79000739921014,-87.67176253624585,"41.79000739921014,-87.67176253624585"
11-00023936,01/05/2011,Front,,2,Open,1,"WINDOWS, FRONT AND BACK DOOR",Vacant,1,,0,1,1,8316,S,LAFAYETTE,AVE,60620,8316 S LAFAYETTE AVE chicago IL 60620,1177386.68752732,1849858.91991428,41.743341500328725,-87.62562164550667,"41.743341500328725,-87.62562164550667"
11-00024264,01/05/2011,Front,,2,Boarded,0,PROBLEM IS: ALOT OF RODENTS ON THE PROPERTY,Vacant,1,,0,,0,1743,N,NATCHEZ,AVE,60707,1743 N NATCHEZ AVE chicago IL 60707,1132589.37196697,1910886.95248985,41.91170636995308,-87.78834592318353,"41.91170636995308,-87.78834592318353"
11-00024335,01/05/2011,Front,,2,Open,1,,Vacant,1,,0,1,1,7010,S,DAMEN,AVE,60636,7010 S DAMEN AVE chicago IL 60636,1164236.62811171,1858128.63622161,41.76632146303039,-87.6735719129804,"41.76632146303039,-87.6735719129804"
11-00024494,01/05/2011,,,2,,2,,,2,,0,,0,4000,W,LAKE,ST,60624,4000 W LAKE ST chicago IL 60624,1149680.11963064,1901439.64251033,41.88546682504653,-87.72580483818099,"41.88546682504653,-87.72580483818099"
11-00024502,01/05/2011,Front,,2,Open,1,FRONT DOOR,Vacant,1,1,1,,0,2218,W,HIGHLAND,AVE,60659,2218 W HIGHLAND AVE chicago IL 60659,1160299.59469797,1942123.0600666,41.99689168796778,-87.68567927300656,"41.99689168796778,-87.68567927300656"
11-00024539,01/05/2011,,,2,,2,,,2,,0,,0,1013,N,LECLAIRE,AVE,60651,1013 N LECLAIRE AVE chicago IL 60651,1142175.09712154,1906264.07232366,41.89884812866016,-87.7532452453255,"41.89884812866016,-87.7532452453255"
11-00024634,01/05/2011,Front,,2,Open,1,IS NOT SECURE AT ALL,Vacant,1,,0,,0,1662,N,MOZART,ST,60647,1662 N MOZART ST chicago IL 60647,1157166.57897018,1910999.38832633,41.91155087952038,-87.69805307912618,"41.91155087952038,-87.69805307912618"
11-00025702,01/05/2011,Rear,,2,Open,1,THE BASEMENT REAR DOOR IS OPEN AND FROZEN OPEN,Vacant,1,,0,,0,1938,W,DIVERSEY,PKWY,60614,1938 W DIVERSEY PKWY chicago IL 60614,1162944.42037439,1918605.78520752,41.93230393459172,-87.67661312589715,"41.93230393459172,-87.67661312589715"
11-00026113,01/06/2011,Front,,2,Open,1,,Vacant,1,,0,,0,5722,S,JUSTINE,ST,60636,5722 S JUSTINE ST chicago IL 60636,1166986.51007395,1866735.40998098,41.78988121764515,-87.66324674492655,"41.78988121764515,-87.66324674492655"
11-00026118,01/06/2011,Front,,2,Open,1,,Vacant,1,,0,,0,5922,S,MORGAN,ST,60621,5922 S MORGAN ST chicago IL 60621,1170657.96168025,1865550.87441354,41.786551403635045,-87.64981914060724,"41.786551403635045,-87.64981914060724"
11-00026122,01/06/2011,Front,,2,Open,1,,Vacant,1,,0,,0,6046,S,GREEN,ST,60621,6046 S GREEN ST chicago IL 60621,1171673.67261987,1864753.58889248,41.784341343655385,-87.64611838929557,"41.784341343655385,-87.64611838929557"
11-00026126,01/06/2011,Front,,2,Open,1,,Vacant,1,,0,,0,6734,S,PARNELL,AVE,60621,6734 S PARNELL AVE chicago IL 60621,1173729.54146925,1860252.43619224,41.77194433691063,-87.63871409546572,"41.77194433691063,-87.63871409546572"
