SERVICE REQUEST #,DATE RECEIVED,LOT LOCATION,DANGEROUS OR HAZARDOUS?,Dangerous flag,OPEN OR BOARDED?,Open flag,ENTRY POINT,VACANT OR OCCUPIED?,Vacant flag,VACANT DUE TO FIRE?,Fire flag,ANY PEOPLE USING PROPERTY?,In use flag,ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,Full Address,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,Location
11-03682043,08/29/2011,Front,,2,Open,1,"FRONT/REAR DOORS, WINDOWS",Vacant,1,,0,1,1,2413,S,SPAULDING,AVE,60623,2413 S SPAULDING AVE chicago IL 60623,1154742.93999325,1887775.69172974,41.847871605270754,-87.70757885486265,"41.847871605270754,-87.70757885486265"
11-03682439,08/29/2011,,,2,,2,,,2,,0,,0,838,N,LAVERGNE,AVE,60651,838 N LAVERGNE AVE chicago IL 60651,1142866.6703904,1905227.33998242,41.89599035570511,-87.75073095351098,"41.89599035570511,-87.75073095351098"
11-03682573,08/29/2011,Front,,2,Open,1,WINDOWS,Vacant,1,,0,,0,8007,S,SACRAMENTO,AVE,60652,8007 S SACRAMENTO AVE chicago IL 60652,1157769.74442979,1851376.63233273,41.747926589912765,-87.69745850299005,"41.747926589912765,-87.69745850299005"
11-03682817,08/29/2011,Garage,,2,Open,1,,Vacant,1,,0,,0,539,N,HARDING,AVE,60624,539 N HARDING AVE chicago IL 60624,1149961.4879011,1903310.60817633,41.890595484055936,-87.72472286286904,"41.890595484055936,-87.72472286286904"
11-03682873,08/29/2011,,,2,Open,1,,Vacant,1,,0,,0,1304,S,HEATH,AVE,60608,1304 S HEATH AVE chicago IL 60608,1161021.98987642,1893983.52430431,41.86477866118991,-87.68436227202363,"41.86477866118991,-87.68436227202363"
11-03682932,08/29/2011,Front,,2,Open,1,ALL AROUND,Vacant,1,1,1,,0,9854,S,CHARLES,ST,60643,9854 S CHARLES ST chicago IL 60643,1167538.06417777,1839494.23151597,41.715115849620524,-87.66200374326054,"41.715115849620524,-87.66200374326054"
11-03682950,08/29/2011,Front,,2,Boarded,0,TALL WEEDS IN YARD,Vacant,1,,0,,0,6618,S,KEATING,AVE,60629,6618 S KEATING AVE chicago IL 60629,1145852.90439463,1860301.10840562,41.7726502949449,-87.74090102057019,"41.7726502949449,-87.74090102057019"
11-03683357,08/29/2011,Front,,2,Open,1,DOORS AND WINDOWS,Vacant,1,,0,1,1,5934,S,STEWART,AVE,60621,5934 S STEWART AVE chicago IL 60621,1174527.71921622,1865578.86231574,41.7865429105912,-87.63562982026359,"41.7865429105912,-87.63562982026359"
11-03683706,08/29/2011,,,2,Open,1,FRONT/REAR,Vacant,1,,0,1,1,3348,W,POLK,ST,60624,3348 W POLK ST chicago IL 60624,1154175.20996667,1896169.98429142,41.870917823895105,-87.70943859037247,"41.870917823895105,-87.70943859037247"
11-03683737,08/29/2011,Rear,,2,Boarded,0,,Vacant,1,,0,,0,414,E,109TH,ST,60628,414 E 109TH ST chicago IL 60628,1180995.8549003,1832775.92547729,41.696381412116814,-87.61292132968659,"41.696381412116814,-87.61292132968659"
11-03683800,08/29/2011,Front,,2,Open,1,SIDE DOOR ENTRANCE-NORTH END OF HOUSE,Vacant,1,,0,1,1,12424,S,WALLACE,ST,60628,12424 S WALLACE ST chicago IL 60628,1174562.11987493,1822270.61001445,41.66769842840329,-87.63678860162028,"41.66769842840329,-87.63678860162028"
11-03684448,08/29/2011,Front,,2,Open,1,FRONT DOOR,Vacant,1,,0,1,1,535,N,ST LOUIS,AVE,60624,535 N ST LOUIS AVE chicago IL 60624,1152952.43639948,1903403.48743344,41.89079161425323,-87.71373612367094,"41.89079161425323,-87.71373612367094"
11-03685473,08/29/2011,Front,,2,Open,1,NOT BOARDED AT ALL,Vacant,1,,0,1,1,11823,S,SANGAMON,ST,60643,11823 S SANGAMON ST chicago IL 60643,1172118.77317341,1826427.161232,41.67915854315778,-87.64560924975362,"41.67915854315778,-87.64560924975362"
11-03685776,08/29/2011,,,2,,2,,,2,,0,,0,1829,S,HAMLIN,AVE,60623,1829 S HAMLIN AVE chicago IL 60623,1151341.0183773,1890893.23718792,41.856493873242385,-87.71998239105118,"41.856493873242385,-87.71998239105118"
11-03686253,08/29/2011,Front,,2,Open,1,FRONT,Vacant,1,,0,,0,1017,W,116TH,ST,60643,1017 W 116TH ST chicago IL 60643,1171556.74441539,1827892.14177274,41.683190982485776,-87.64762382624934,"41.683190982485776,-87.64762382624934"
11-03686703,08/29/2011,,,2,,2,,,2,,0,,0,10755,S,INDIANA,AVE,60628,10755 S INDIANA AVE chicago IL 60628,1179486.66969675,1833691.60788182,41.69892867872586,-87.61841917422242,"41.69892867872586,-87.61841917422242"
11-03686834,08/29/2011,Front,,2,Open,1,,Vacant,1,,0,1,1,904,W,WEBSTER,AVE,60614,904 W WEBSTER AVE chicago IL 60614,1169884.2400869,1914823.297984,41.92177590674666,-87.65122087169901,"41.92177590674666,-87.65122087169901"
11-03686839,08/29/2011,Front,,2,Open,1,FRONT AND REAR,Vacant,1,,0,1,1,6722,S,CARPENTER,ST,60621,6722 S CARPENTER ST chicago IL 60621,1170471.47368199,1860239.82051327,41.77198130627468,-87.65065749527031,"41.77198130627468,-87.65065749527031"
11-03686890,08/29/2011,Front,,2,Open,1,REAR TALL WEEDS,Vacant,1,,0,,0,7808,S,INDIANA,AVE,60619,7808 S INDIANA AVE chicago IL 60619,1178945.29997063,1853285.6573702,41.75270954801953,-87.6198067203833,"41.75270954801953,-87.6198067203833"
11-03687018,08/29/2011,Front,,2,Boarded,0,REAR FENCE AND WINDOD,Vacant,1,,0,1,1,825,N,KARLOV,AVE,60651,825 N KARLOV AVE chicago IL 60651,1148902.69007672,1905195.24588196,41.89578767254845,-87.72856252699876,"41.89578767254845,-87.72856252699876"
11-03687052,08/29/2011,Front,,2,Boarded,0,BACK GATE,Vacant,1,,0,1,1,7950,S,ESSEX,AVE,60617,7950 S ESSEX AVE chicago IL 60617,1194228.81139211,1853072.72011668,41.75176376184063,-87.56380680696981,"41.75176376184063,-87.56380680696981"
11-03687282,08/29/2011,Rear,,2,Open,1,BACK DOOR OPEN,Vacant,1,,0,1,1,8726,S,MICHIGAN,AVE,60619,8726 S MICHIGAN AVE chicago IL 60619,1178675.78288223,1847167.36967088,41.735926371996335,-87.62097999093326,"41.735926371996335,-87.62097999093326"
11-03687291,08/29/2011,Rear,,2,Open,1,"BACK DOOR, AND BACK WINDOWS",Vacant,1,,0,1,1,8737,S,MICHIGAN,AVE,60619,8737 S MICHIGAN AVE chicago IL 60619,1178677.88288223,1847093.36967088,41.73572325923707,-87.62097454131789,"41.73572325923707,-87.62097454131789"
11-03687337,08/29/2011,Rear,,2,Open,1,REAR BACK AND BASEMENT,Vacant,1,,0,1,1,1723,E,85TH,ST,60617,1723 E 85TH ST chicago IL 60617,1189212.01587978,1848961.41199414,41.74060360602536,-87.5823222209883,"41.74060360602536,-87.5823222209883"
11-03687516,08/29/2011,Front,,2,Open,1,,Vacant,1,,0,1,1,2819,W,22ND,PL,60623,2819 W 22ND PL chicago IL 60623,1157880.44060109,1888930.7506253,41.85097790201192,-87.69603261363524,"41.85097790201192,-87.69603261363524"
11-03687601,08/29/2011,Front,,2,Open,1,,Occupied,0,,0,1,1,5230,S,CAMPBELL,AVE,60632,5230 S CAMPBELL AVE chicago IL 60632,1160589.30839087,1869913.24199651,41.79873603533031,-87.68661587150369,"41.79873603533031,-87.68661587150369"
11-03687751,08/29/2011,Rear,,2,Open,1,REAR DOOR OPEN,Vacant,1,,0,1,1,5048,W,THOMAS,ST,60651,5048 W THOMAS ST chicago IL 60651,1142408.01856746,1906849.9403223,41.9004514929837,-87.75237515208069,"41.9004514929837,-87.75237515208069"
11-03687915,08/30/2011,Rear,,2,Open,1,REAR,Vacant,1,,0,,0,185,N,LEAMINGTON,AVE,60644,185 N LEAMINGTON AVE chicago IL 60644,1142012.35191629,1900843.69161928,41.883976972754446,-87.75397743522676,"41.883976972754446,-87.75397743522676"
11-03688178,08/30/2011,Front,,2,Open,1,,Vacant,1,,0,,0,6229,S,WHIPPLE,ST,60629,6229 S WHIPPLE ST chicago IL 60629,1157120.41587325,1863173.57011571,41.780312338590086,-87.69951934815903,"41.780312338590086,-87.69951934815903"
11-03689310,08/30/2011,,,2,,2,,,2,,0,,0,3924,S,ARCHER,AVE,60632,3924 S ARCHER AVE chicago IL 60632,1159386.47878536,1878506.33389645,41.82234131336268,-87.69079132184963,"41.82234131336268,-87.69079132184963"
11-03691506,08/30/2011,Front,,2,Open,1,"BACK WINDOW, SIDE DOOR",Vacant,1,,0,1,1,2100,E,93RD,ST,60617,2100 E 93RD ST chicago IL 60617,1191798.97702311,1843716.03209329,41.726147447618814,-87.57301378513135,"41.726147447618814,-87.57301378513135"
11-03691629,08/30/2011,Front,,2,Open,1,,Vacant,1,,0,,0,9012,S,MAY,ST,60620,9012 S MAY ST chicago IL 60620,1170235.55420537,1845034.29861056,41.730260466094954,-87.6519637134253,"41.730260466094954,-87.6519637134253"
11-03691651,08/30/2011,Front,,2,Open,1,,Vacant,1,,0,,0,3501,W,74TH,ST,60629,3501 W 74TH ST chicago IL 60629,1154316.09537672,1855314.87242961,41.7588031072511,-87.71000935190666,"41.7588031072511,-87.71000935190666"
