request_number,date_received,location_on_lot,dangerous_or_hazardous,dangerous,open_or_boarded,open,entry_point,vacant_or_occupied,vacant_flag,vacant_due_to_fire,fire_flag,people_using_property,in_use_flag,address_street_num,address_street_dir,address_street_name,address_street_suffix,zip_code,full_address,x_coordinate,y_coordinate,latitude,longitude,location,the_geom,area_number,community_area,neigh_number,neighborhood
11-00759819,2011-04-11 00:00:00,,,2,,2,,,2,,0,,0,5822,N,WESTERN,AVE,60659,5822 N WESTERN AVE chicago IL 60659,1159270.59243006,1938589.33997995,41.9872163179679,-87.6895622716703,"41.9872163179679,-87.68956227167031",01010000204FE58A00157FA99766B031410FED08579D943D41,4,LINCOLN SQUARE,,
12-00647901,2012-03-21 00:00:00,Front,,2,Open,1,FRONT,Vacant,1,,0,,0,2345,W,BERWYN,AVE,60625,2345 W BERWYN AVE chicago IL 60625,1159595.72627045,1935131.66382947,41.9777215949825,-87.6884621668706,"41.97772159498248,-87.68846216687058",01010000204FE58A0037DCECB9ABB1314168BAF0A91B873D41,4,LINCOLN SQUARE,,
11-04053150,2011-11-01 00:00:00,Front,,2,Open,1,ALL ENTRIES NO WINDOWS,Vacant,1,,0,,0,6000,S,VERNON,AVE,60637,6000 S VERNON AVE chicago IL 60637,1180302.85012672,1865328.51662169,41.7857253875057,-87.6144630350872,"41.78572538750566,-87.61446303508718",01010000204FE58A009CE7A1D98E023241AF51418470763C41,40,WASHINGTON PARK,,
11-03498619,2011-07-31 00:00:00,Front,,2,Open,1,?,Vacant,1,,0,,0,5952,S,DORCHESTER,AVE,60637,5952 S DORCHESTER AVE chicago IL 60637,1186567.64029768,1865670.30668156,41.7865172578855,-87.5914828382228,"41.786517257885485,-87.59148283822282",01010000204FE58A007B8CEAA3071B3241C6AE824EC6773C41,41,HYDE PARK,,
11-03669091,2011-08-26 00:00:00,Front,,2,Open,1,FRONT,Vacant,1,,0,,0,5660,N,LAS CASAS,AVE,60646,5660 N LAS CASAS AVE chicago IL 60646,1142342.84496675,1937317.61648884,41.9840588894417,-87.7518554019474,"41.98405888944175,-87.75185540194742",01010000204FE58A00ADBD4FD8466E31416E36D29DA58F3D41,12,FOREST GLEN,,
11-03717496,2011-09-02 00:00:00,Front,,2,Open,1,COMP OPEN,Vacant,1,,0,,0,5525,N,FOREST GLEN,AVE,60630,5525 N FOREST GLEN AVE chicago IL 60630,1141879.70902444,1936541.6606983,41.9819382233043,-87.7535780850817,"41.98193822330429,-87.75357808508167",01010000204FE58A002EA082B5776C3141178623A99D8C3D41,12,FOREST GLEN,,
11-00406749,2011-03-11 00:00:00,Front,,2,Boarded,0,,Vacant,1,,0,1,1,2013,W,FULLERTON,AVE,60647,2013 W FULLERTON AVE chicago IL 60647,1162474.80988649,1915947.64987793,41.9250197018512,-87.6784134960474,"41.92501970185125,-87.67841349604741",01010000204FE58A0094B854CFEABC314168665EA62B3C3D41,22,LOGAN SQUARE,,
11-00760993,2011-04-11 00:00:00,,,2,,2,,,2,,0,,0,2040,N,ASHLAND,AVE,60614,2040 N ASHLAND AVE chicago IL 60614,1165281.96896738,1913732.62320856,41.9188822380121,-87.6681618725895,"41.9188822380121,-87.6681618725895",01010000204FE58A00083F0EF8E1C73141A0988A9F84333D41,22,LOGAN SQUARE,,
11-01904986,2011-05-19 00:00:00,,,2,,2,,,2,,0,,0,2318,N,LISTER,AVE,60614,2318 N LISTER AVE chicago IL 60614,1163043.6520243,1915199.42243247,41.9229545768178,-87.6763443779838,"41.92295457681775,-87.67634437798375",01010000204FE58A008510EBA623BF3141CB88246C3F393D41,22,LOGAN SQUARE,,
11-00434581,2011-03-16 00:00:00,Front,,2,Open,1,COMMERCIAL PROP./ABANDON MCDONALDS ARMITAGE/HARLEM - DOORS/WINDOWS UNSECURED,Vacant,1,,0,1,1,7199,W,ARMITAGE,AVE,60707,7199 W ARMITAGE AVE chicago IL 60707,1127772.70139733,1912490.40247034,41.9161890704283,-87.8060050456045,"41.916189070428324,-87.80600504560446",01010000204FE58A0082C68EB35C353141D44B0867AA2E3D41,25,AUSTIN,,
11-01327558,2011-05-02 00:00:00,Front,,2,Open,1,,Vacant,1,,0,1,1,2001,N,HARLEM,AVE,60707,2001 N HARLEM AVE chicago IL 60707,1127772.70139733,1912490.40247034,41.9161890704283,-87.8060050456045,"41.916189070428324,-87.80600504560446",01010000204FE58A0082C68EB35C353141D44B0867AA2E3D41,25,AUSTIN,,
11-00340385,2011-03-01 00:00:00,,,2,,2,,,2,,0,,0,2241,W,95TH,ST,60643,2241 W 95TH ST chicago IL 60643,1162990.58241802,1841599.64148021,41.720989533112,-87.6786001132906,"41.72098953311201,-87.67860011329061",01010000204FE58A00ED581995EEBE31410B0C38A4BF193C41,72,BEVERLY,14,Beverly
12-00640960,2012-03-20 00:00:00,,,2,,2,,,2,,0,,0,1706,E,73RD,ST,60649,1706 E 73RD ST chicago IL 60649,1188865.41582438,1856915.85587641,41.7624396247904,-87.5833380607255,"41.76243962479039,-87.58333806072547",01010000204FE58A007177736A0124324166B71ADB93553C41,43,SOUTH SHORE,188,South Shore
11-00261860,2011-02-15 00:00:00,Front,,2,Open,1,,Vacant,1,1,1,,0,3400,S,KEDZIE,AVE,60623,3400 S KEDZIE AVE chicago IL 60623,1155579.01058524,1881866.68020764,41.8316398124012,-87.704669160964,"41.831639812401235,-87.70466916096397",01010000204FE58A00DCB6B502FBA13141801622AE0AB73C41,30,SOUTH LAWNDALE,,
11-01357719,2011-05-03 00:00:00,Front,,2,Open,1,,Vacant,1,,0,,0,3401,S,LAWNDALE,AVE,60623,3401 S LAWNDALE AVE chicago IL 60623,1152246.57367957,1881799.83018509,41.8315226384779,-87.7168980714132,"41.83152263847795,-87.71689807141321",01010000204FE58A0010AADC92F6943141930287D4C7B63C41,30,SOUTH LAWNDALE,,
11-04263510,2011-12-16 00:00:00,Front,,2,Open,1,,Vacant,1,,0,1,1,3528,W,SANITARY SHIP CANAL,,60632,3528 W SANITARY SHIP CANAL  chicago IL 60632,1153382.72168859,1880935.24927739,41.8291276695667,-87.712752317889,"41.82912766956666,-87.71275231788897",01010000204FE58A005C95C0B8669931419EA4D03F67B33C41,30,SOUTH LAWNDALE,,
11-00262019,2011-02-15 00:00:00,Front,,2,Open,1,,Vacant,1,1,1,,0,2841,S,ASHLAND,AVE,60608,2841 S ASHLAND AVE chicago IL 60608,1166142.12570094,1885208.14572948,41.8405904627395,-87.6658167012895,"41.84059046273948,-87.66581670128954",01010000204FE58A00D2EF2D203ECB3141F7864E2518C43C41,31,LOWER WEST SIDE,,
11-00307935,2011-02-23 00:00:00,,,2,,2,,,2,,0,,0,1800,W,MARKETPLACE ACCESS,RD,60608,1800 W MARKETPLACE ACCESS RD chicago IL 60608,1164848.04860658,1885372.99262337,41.8410703194747,-87.6705607931969,"41.84107031947467,-87.6705607931969",01010000204FE58A00177B710C30C63141AF901CFEBCC43C41,31,LOWER WEST SIDE,,
11-03244660,2011-06-25 00:00:00,Front,,2,Open,1,FRONT,Vacant,1,,0,1,1,2946,S,DAMEN,AVE,60608,2946 S DAMEN AVE chicago IL 60608,1163535.79209499,1884401.49416692,41.838432113362,-87.6754036137873,"41.83843211336199,-87.67540361378727",01010000204FE58A00BDBCC6CA0FC1314128B9817EF1C03C41,31,LOWER WEST SIDE,,
11-01803395,2011-05-16 00:00:00,,,2,,2,,,2,,0,,0,2399,S,LAKE SHORE,DR,60616,2399 S LAKE SHORE DR chicago IL 60616,1180527.11131465,1888425.07750798,41.8490990209951,-87.6129308318285,"41.849099020995105,-87.61293083182852",01010000204FE58A00ED1D7F1C6F0332411F90D713A9D03C41,33,NEAR SOUTH SIDE,,
11-03268600,2011-06-29 00:00:00,,,2,,2,,,2,,0,,0,7811,S,SAWYER,AVE,60652,7811 S SAWYER AVE chicago IL 60652,1156071.96578354,1852585.6539749,41.7512786031286,-87.7036473414031,"41.75127860312864,-87.70364734140307",01010000204FE58A000F973DF7E7A3314128E66AA7A9443C41,70,ASHBURN,6,Ashburn
11-03656056,2011-08-24 00:00:00,,,2,,2,,,2,,0,,0,3336,W,16TH,ST,60623,3336 W 16TH ST chicago IL 60623,1154275.82691166,1891842.32999284,41.8590402575393,-87.7091847021344,"41.85904025753935,-87.70918470213437",01010000204FE58A00887BB0D3E39C314128697A5402DE3C41,29,NORTH LAWNDALE,105,Lawndale
11-02672542,2011-06-08 00:00:00,Front,,2,Open,1,,Vacant,1,,0,1,1,8130,S,BRANDON,AVE,60617,8130 S BRANDON AVE chicago IL 60617,1198895.1299943,1851672.76997176,41.7478064019102,-87.5467542026252,"41.747806401910154,-87.54675420262521",01010000204FE58A00734E47212F4B324188DE1CC518413C41,46,SOUTH CHICAGO,,
11-03493657,2011-07-29 00:00:00,,,2,,2,,,2,,0,,0,900,N,NOBLE,ST,60642,900 N NOBLE ST chicago IL 60642,1166895.43208283,1906124.07868465,41.8979694134224,-87.6624525065486,"41.89796941342239,-87.66245250654858",01010000204FE58A00F8FA9C6E2FCE31415EAD2414CC153D41,24,WEST TOWN,129,Noble Square
12-00145983,2012-02-02 00:00:00,Front,,2,Open,1,,Vacant,1,,0,,0,601,E,108TH,ST,60628,601 E 108TH ST chicago IL 60628,1182178.88402331,1833455.39008343,41.6982187186866,-87.6085689044723,"41.698218718686576,-87.60856890447228",01010000204FE58A00055A4FE2E2093241F781DC63EFF93B41,50,PULLMAN,,
11-00775894,2011-04-12 00:00:00,Front,,2,Open,1,,Vacant,1,,0,,0,10734,S,LANGLEY,AVE,60628,10734 S LANGLEY AVE chicago IL 60628,1182818.8307266,1833863.67996655,41.6993243182731,-87.6062131455123,"41.69932431827315,-87.60621314551233",01010000204FE58A009B7FAAD4620C3241AF4912AE87FB3B41,50,PULLMAN,,
11-04052384,2011-11-01 00:00:00,,,2,,2,,,2,,0,,0,10436,S,MARYLAND,AVE,60628,10436 S MARYLAND AVE chicago IL 60628,1183750.89996672,1835935.81007693,41.7049888633418,-87.6027359923138,"41.704988863341796,-87.60273599231377",01010000204FE58A000E3864E606103241A23361CF9F033C41,50,PULLMAN,,
11-04227300,2011-12-08 00:00:00,Front,,2,Open,1,"DOORS / WINDOWS, SQUATTERS LITTERING ON THE PROPERTY",Occupied,0,,0,1,1,10442,S,MARYLAND,AVE,60628,10442 S MARYLAND AVE chicago IL 60628,1183752.19996672,1835895.51007693,41.7048782447896,-87.6027324839095,"41.7048782447896,-87.60273248390948",01010000204FE58A00DB04313308103241D566948277033C41,50,PULLMAN,,
11-01331423,2011-05-02 00:00:00,Front,,2,Open,1,FRONT DOOR,Vacant,1,,0,,0,1107,E,103RD ST,ER,60628,1107 E 103RD ST ER chicago IL 60628,1185341.1637807,1839056.63487308,41.7135156127189,-87.5968149610656,"41.7135156127189,-87.59681496106559",01010000204FE58A002E88ED293D163241CC0A87A2D00F3C41,50,PULLMAN,,
11-03370560,2011-07-14 00:00:00,Front,,2,Open,1,FRONT,Vacant,1,,0,,0,12600,S,ESCANABA,AVE,60633,12600 S ESCANABA AVE chicago IL 60633,1197364.58782314,1822061.73561521,41.6665892104133,-87.553345249815,"41.6665892104133,-87.55334524981501",01010000204FE58A00CA937B9634453241454751BC6DCD3B41,51,SOUTH DEERING,,
11-00699566,2011-04-08 00:00:00,Front,,2,Open,1,,Vacant,1,,0,,0,12010,S,DOTY,AVE,60628,12010 S DOTY AVE chicago IL 60628,1184292.40753016,1825413.01212431,41.6761002927606,-87.6010806342907,"41.676100292760616,-87.60108063429074",01010000204FE58A0085E55368241232412B941A0385DA3B41,51,SOUTH DEERING,,
11-02377910,2011-06-01 00:00:00,,,2,,2,,,2,,0,,0,10356,S,EWING,AVE,60617,10356 S EWING AVE chicago IL 60617,1202161.58537237,1836899.29523082,41.7071843585968,-87.5352870878607,"41.707184358596756,-87.53528708786071",01010000204FE58A00B1F6DA95F15732413D3F944B63073C41,52,EAST SIDE,49,East Side
11-01953565,2011-05-20 00:00:00,,,2,,2,,,2,,0,,0,10024,S,AVENUE M,,60617,10024 S AVENUE M  chicago IL 60617,1201484.05760593,1839160.12071984,41.7134054528126,-87.5376916324908,"41.713405452812566,-87.53769163249078",01010000204FE58A002143BF0E4C553241D57EE71E38103C41,52,EAST SIDE,49,East Side
11-00779449,2011-04-12 00:00:00,Front,,2,Open,1,,Vacant,1,,0,1,1,800,E,120TH,ST,60628,800 E 120TH ST chicago IL 60628,1183347.50003376,1825489.32000199,41.6763316759783,-87.6045368237815,"41.676331675978325,-87.60453682378146",01010000204FE58A0066360280730E324182A6EB51D1DA3B41,54,RIVERDALE,,
11-03894836,2011-10-04 00:00:00,Front,,2,Open,1,,Vacant,1,,0,,0,12050,S,DOTY,AVE,60628,12050 S DOTY AVE chicago IL 60628,1184169.17121569,1824970.7534695,41.6748895463122,-87.6015454515522,"41.67488954631219,-87.60154545155216",01010000204FE58A009DCAD42BA91132418D60E3C0CAD83B41,54,RIVERDALE,,
11-00779474,2011-04-12 00:00:00,Front,,2,Open,1,,Vacant,1,,0,1,1,630,E,KENSINGTON,AVE,60628,630 E KENSINGTON AVE chicago IL 60628,1182692.05998491,1828291.84997605,41.6840374003769,-87.6068493821814,"41.68403740037685,-87.60684938218137",01010000204FE58A00CB2B5B0FE40B3241C90798D9C3E53B41,54,RIVERDALE,,
11-00779146,2011-04-12 00:00:00,Front,,2,Open,1,,Vacant,1,,0,1,1,13551,S,BRAINARD,AVE,60633,13551 S BRAINARD AVE chicago IL 60633,1199447.67111656,1815489.52253367,41.6485023283196,-87.5459416770162,"41.64850232831959,-87.54594167701616",01010000204FE58A007D4BCEAB574D324140C4C485C1B33B41,55,HEGEWISCH,,
11-00779183,2011-04-12 00:00:00,Front,,2,Open,1,,Vacant,1,,0,1,1,13421,S,BRAINARD,AVE,60633,13421 S BRAINARD AVE chicago IL 60633,1198451.64868725,1816499.74868765,41.651299414458,-87.5495521142257,"41.65129941445803,-87.54955211422573",01010000204FE58A001C5E10A6734932416CFEA9BFB3B73B41,55,HEGEWISCH,,
11-02139894,2011-05-25 00:00:00,Rear,,2,Open,1,REAR,Vacant,1,,0,1,1,13431,S,BRAINARD,AVE,60633,13431 S BRAINARD AVE chicago IL 60633,1198541.44868725,1816408.14868765,41.6510458123221,-87.5492266066949,"41.651045812322124,-87.54922660669486",01010000204FE58A00E92ADD72CD493241D264102658B73B41,55,HEGEWISCH,,
11-00779033,2011-04-12 00:00:00,Front,,2,Open,1,,Vacant,1,,0,,0,2650,E,126TH,ST,60633,2650 E 126TH ST chicago IL 60633,1195923.91691381,1821898.54402314,41.6661770532359,-87.5586229319365,"41.666177053235934,-87.55862293193654",01010000204FE58A000BDDBAEA933F3241BB19458BCACC3B41,55,HEGEWISCH,,
11-00779293,2011-04-12 00:00:00,Front,,2,Open,1,,Vacant,1,,0,1,1,13535,S,TORRENCE,AVE,60633,13535 S TORRENCE AVE chicago IL 60633,1195793.24813161,1815797.17120014,41.6494373679899,-87.5593016381291,"41.649437367989876,-87.55930163812913",01010000204FE58A009E8D853F113F3241BAC5D32BF5B43B41,55,HEGEWISCH,,
11-03697760,2011-08-31 00:00:00,,,2,,2,,,2,,0,,0,3950,S,CICERO,AVE,60638,3950 S CICERO AVE chicago IL 60638,1145020.95528471,1877810.36520696,41.8207141869168,-87.7435103742434,"41.820714186916824,-87.7435103742434",01010000204FE58A00EC898DF4BC7831410D347E5D32A73C41,56,GARFIELD RIDGE,,
11-03192677,2011-06-21 00:00:00,Front,,2,Open,1,DOOR,Vacant,1,,0,,0,3660,N,LAKE SHORE,DR,60613,3660 N LAKE SHORE DR chicago IL 60613,1171732.78999065,1925029.04999915,41.9497403520257,-87.6441273928257,"41.94974035202574,-87.64412739282571",01010000204FE58A00C6D33CCA14E131418ABECC0CA55F3D41,6,LAKE VIEW,,
11-01919740,2011-05-19 00:00:00,,,2,,2,,,2,,0,,0,723,W,48TH,ST,60609,723 W 48TH ST chicago IL 60609,1172286.69213145,1873043.07220587,41.8070751070872,-87.6436269803126,"41.807075107087186,-87.64362698031256",01010000204FE58A00D6862FB13EE331417A157C1293943C41,61,NEW CITY,31,Canaryville
11-00262410,2011-02-15 00:00:00,Front,,2,Open,1,,Vacant,1,1,1,,0,2139,W,PERSHING,RD,60609,2139 W PERSHING RD chicago IL 60609,1162696.40886576,1878794.80778594,41.8230643517733,-87.6786405193283,"41.82306435177334,-87.67864051932831",01010000204FE58A002C6DAB68C8BD3141320FCBCE0AAB3C41,61,NEW CITY,,
11-00262415,2011-02-15 00:00:00,Front,,2,Open,1,,Vacant,1,1,1,,0,2129,W,PERSHING,RD,60609,2129 W PERSHING RD chicago IL 60609,1162785.20886576,1878796.90778594,41.8230682571469,-87.6783146873893,"41.82306825714691,-87.67831468738926",01010000204FE58A00F839783521BE3141CCA864E80CAB3C41,61,NEW CITY,,
11-03423511,2011-07-21 00:00:00,,,2,,2,,,2,,0,,0,2133,W,PERSHING,RD,60609,2133 W PERSHING RD chicago IL 60609,1162749.70886576,1878796.00778594,41.8230665300433,-87.6784449484737,"41.82306653004329,-87.67844494847365",01010000204FE58A00F83978B5FDBD31416642FE010CAB3C41,61,NEW CITY,,
11-03423512,2011-07-21 00:00:00,,,2,,2,,,2,,0,,0,2001,W,PERSHING,PL,60609,2001 W PERSHING PL chicago IL 60609,1163550.13591171,1878570.10389989,41.8224298450443,-87.6755148343461,"41.822429845044304,-87.67551483434606",01010000204FE58A001E1CCB221EC13141E62E991A2AAA3C41,61,NEW CITY,,
11-03423513,2011-07-21 00:00:00,,,2,,2,,,2,,0,,0,2053,W,PERSHING,RD,60609,2053 W PERSHING RD chicago IL 60609,1163170.39990598,1878805.55470552,41.8230839182462,-87.6769013267882,"41.82308391824622,-87.67690132678817",01010000204FE58A00023D6066A2BF3141532E018E15AB3C41,61,NEW CITY,,
11-00826557,2011-04-14 00:00:00,,,2,,2,,,2,,0,,0,5654,S,WOOD,ST,60636,5654 S WOOD ST chicago IL 60636,1165313.97438809,1867188.57207723,41.7911603589451,-87.669366626809,"41.791160358945085,-87.66936662680898",01010000204FE58A00747F71F901C8314142A77392B47D3C41,67,WEST ENGLEWOOD,208,West Englewood
11-00005158,2011-01-03 00:00:00,Front,,2,Open,1,,Vacant,1,,0,,0,5500,W,ARDMORE,AVE,60646,5500 W ARDMORE AVE chicago IL 60646,1138773.02998643,1937961.68093423,41.9858920066151,-87.7649691117645,"41.98589200661507,-87.76496911176446",01010000204FE58A00D030AD0755603141A9B451AE29923D41,11,JEFFERSON PARK,94,Jefferson Park
11-00002159,2011-01-01 00:00:00,Front,,2,Open,1,,Vacant,1,,0,1,1,4046,W,PALMER,ST,60639,4046 W PALMER ST chicago IL 60639,1148946.422618,1914312.93159061,41.9208066586392,-87.7281656456099,"41.92080665863923,-87.72816564560988",01010000204FE58A0079B1306C12883141E3B87CEEC8353D41,20,HERMOSA,81,Hermosa
11-00004013,2011-01-02 00:00:00,Front,,2,Open,1,,Vacant,1,,0,1,1,6154,W,PATTERSON,AVE,60634,6154 W PATTERSON AVE chicago IL 60634,1134696.44357218,1923631.06871859,41.9466406814836,-87.7803030732202,"41.94664068148355,-87.78030307322024",01010000204FE58A0047F28D7168503141A18A97112F5A3D41,17,DUNNING,152,Portage Park
11-00006919,2011-01-03 00:00:00,Front,,2,Open,1,,Vacant,1,1,1,1,1,6426,S,ST LAWRENCE,AVE,60637,6426 S ST LAWRENCE AVE chicago IL 60637,1181339.11810134,1862533.25939701,41.7780311004056,-87.6107497479441,"41.778031100405556,-87.61074974794406",01010000204FE58A00B1E33B1E9B063241ABD76742856B3C41,42,WOODLAWN,217,West Woodlawn
11-00005157,2011-01-03 00:00:00,Front,,2,Open,1,,Vacant,1,,0,,0,2155,W,PIERCE,AVE,60622,2155 W PIERCE AVE chicago IL 60622,1161751.15102788,1910213.71001171,41.9093005059052,-87.6812327494236,"41.90930050590516,-87.68123274942359",01010000204FE58A005DC3A92617BA3141D253C3B5C5253D41,24,WEST TOWN,218,Wicker Park
11-00071395,2011-01-14 00:00:00,Front,,2,Boarded,0,CONSERVATION COURT CASE REQUESTING DEMO INSPECTION,Vacant,1,,0,,0,4537,N,NARRAGANSETT,AVE,60630,4537 N NARRAGANSETT AVE chicago IL 60630,1132832.38597638,1929607.93117206,41.9630746188018,-87.7870148599299,"41.963074618801784,-87.78701485992991",01010000204FE58A001959CF6220493141C94A61EE87713D41,,,,
11-00273983,2011-02-16 00:00:00,Rear,,2,Open,1,,Vacant,1,,0,1,1,4015,W,59TH,PL,60621,4015 W 59TH PL chicago IL 60621,,,,,",",,,,,
11-00337761,2011-02-28 00:00:00,,,2,,2,,,2,,0,,0,908,W,CHICAGO,AVE,60622,908 W CHICAGO AVE chicago IL 60622,,,,,",",,,,,
11-00379526,2011-03-08 00:00:00,Front,,2,Open,1,"DOOR, WINDOWS",Vacant,1,,0,1,1,6650,W,65TH,ST,60638,6650 W 65TH ST chicago IL 60638,1133209.28837127,1860678.57402919,41.7739157877477,-87.7872413074454,"41.77391578774775,-87.78724130744543",01010000204FE58A0016B3D249994A3141B693F39246643C41,,,,
11-02377918,2011-06-01 00:00:00,,,2,,2,,,2,,0,,0,817,W,49TH,PL,60632,817 W 49TH PL chicago IL 60632,,,,,",",,,,,
11-02339233,2011-05-31 00:00:00,Front,,2,Open,1,OLD GAS STATION / BROKEN WINDOWS / ALL OPEN,Vacant,1,,0,1,1,13763,S,INDIANA,AVE,60827,13763 S INDIANA AVE chicago IL 60827,1179975.98800987,1814178.093,41.6453694964373,-87.6172212924752,"41.64536949643727,-87.61722129247524",01010000204FE58A000037EEFC4701324117D9CE17A2AE3B41,,,,
11-02377913,2011-06-01 00:00:00,,,2,,2,,,2,,0,,0,5750,S,WASHTENAW,AVE,60632,5750 S WASHTENAW AVE chicago IL 60632,,,,,",",,,,,
11-02377976,2011-06-01 00:00:00,,,2,,2,,,2,,0,,0,1330,W,72ND,ST,60621,1330 W 72ND ST chicago IL 60621,,,,,",",,,,,
11-02377982,2011-06-01 00:00:00,,,2,,2,,,2,,0,,0,8015,S,PRINCETON,AVE,60621,8015 S PRINCETON AVE chicago IL 60621,,,,,",",,,,,
11-02377985,2011-06-01 00:00:00,,,2,,2,,,2,,0,,0,9351,S,PERRY,AVE,60621,9351 S PERRY AVE chicago IL 60621,,,,,",",,,,,
11-02377986,2011-06-01 00:00:00,,,2,,2,,,2,,0,,0,10613,S,PERRY,AVE,60621,10613 S PERRY AVE chicago IL 60621,,,,,",",,,,,
11-02377987,2011-06-01 00:00:00,,,2,,2,,,2,,0,,0,11810,S,PEORIA,ST,60621,11810 S PEORIA ST chicago IL 60621,,,,,",",,,,,
11-02377990,2011-06-01 00:00:00,,,2,,2,,,2,,0,,0,12442,S,PARNELL,AVE,60621,12442 S PARNELL AVE chicago IL 60621,,,,,",",,,,,
11-02518186,2011-06-05 00:00:00,Front,,2,Open,1,,Vacant,1,,0,,0,6951,S,LOWE  AND UNION,AVE,,6951 S LOWE  AND UNION AVE chicago IL,,,,,",",,,,,
11-02873964,2011-06-13 00:00:00,,,2,,2,,,2,,0,,0,7846,S,LUELLA,AVE,60649,7846 S LUELLA AVE chicago IL 60649,1192563.13538798,1853318.76122101,41.7524796384274,-87.5699026214882,"41.75247963842736,-87.5699026214882",01010000204FE58A0062C9A822733232414F61DFC286473C41,43,SOUTH SHORE,188,South Shore
11-03415607,2011-07-20 00:00:00,Front,,2,Open,1,,Vacant,1,,0,,0,6715,S,CLARMONT,ST,,6715 S CLARMONT ST chicago IL,,,,,",",,,,,
11-03562146,2011-08-09 00:00:00,Front,,2,Open,1,SIDE DOOR,Vacant,1,,0,1,1,1137,S,AUSTIN,BLVD,60644,1137 S AUSTIN BLVD chicago IL 60644,1136553.7685794,1894481.23000237,41.8666168802219,-87.7741744394823,"41.86661688022189,-87.77417443948227",01010000204FE58A009B9EC1C4A9573141716FE13A51E83C41,,,,
11-03637677,2011-08-22 00:00:00,,,2,,2,,,2,,0,,0,627,N,LATROBE,AVE,60644,627 N LATROBE AVE chicago IL 60644,1141250.96017514,1903645.06579461,41.8916783589731,-87.7567042556564,"41.89167835897312,-87.75670425565643",01010000204FE58A00B909CEF5026A314162EAD7101D0C3D41,25,AUSTIN,180,South Austin
11-03722333,2011-09-05 00:00:00,Front,,2,Open,1,DOORS,Vacant,1,,0,,0,4511,S,LARAMIE,AVE,60638,4511 S LARAMIE AVE chicago IL 60638,1142453.10271794,1874238.83280517,41.8109613316057,-87.7530191085969,"41.810961331605675,-87.75301910859694",01010000204FE58A0011B94B1AB56E314139B832D53E993C41,,,,
11-03771045,2011-09-12 00:00:00,Front,,2,Open,1,"FRONT DOOR BOARDED, WINDOWS OPEN LIGHTS ON IN THE HOUSE",Vacant,1,,0,,0,7417,W,HOWARD,ST,60631,7417 W HOWARD ST chicago IL 60631,1125889.55610963,1949887.0305987,42.0188411075353,-87.8120879018777,"42.0188411075353,-87.81208790187769",01010000204FE58A0062335D8E012E31410051D507BFC03D41,,,,
11-03829405,2011-09-22 00:00:00,Front,,2,Open,1,REAR,Vacant,1,,0,1,1,7100,S,YATES,BLVD,60649,7100 S YATES BLVD chicago IL 60649,,,,,",",,,,,
11-03895357,2011-10-04 00:00:00,Front,,2,Open,1,,Vacant,1,,0,1,1,2118,W,119TH,ST,60643,2118 W 119TH ST chicago IL 60643,1164430.37997245,1825694.22009087,41.677312179433,-87.6737725620581,"41.67731217943298,-87.6737725620581",01010000204FE58A00DEDF45618EC4314111E057389EDB3B41,,,,
11-03961265,2011-10-17 00:00:00,Front,,2,Open,1,,Vacant,1,1,1,,0,1750,W,119TH,ST,60643,1750 W 119TH ST chicago IL 60643,1166728.84003413,1825767.99997934,41.6774660551164,-87.6653573686347,"41.67746605511637,-87.66535736863472",01010000204FE58A000C7A0CD788CD314162A5FEFFE7DB3B41,,,,
11-04117072,2011-11-14 00:00:00,,,2,,2,,,2,,0,,0,1211,E,93RD,ST,60619,1211 E 93RD ST chicago IL 60619,1185949.5176911,1843558.06479133,41.7258537483747,-87.5944454864976,"41.72585374837472,-87.59444548649758",01010000204FE58A00686787849D183241232A961066213C41,47,BURNSIDE,27,Burnside
11-04306209,2011-12-28 00:00:00,Front,,2,Boarded,0,,Vacant,1,,0,,0,5806,W,ROOSEVELT,RD,60644,5806 W ROOSEVELT RD chicago IL 60644,1137844.90038785,1894091.950496,41.8655254676805,-87.7694438635453,"41.865525467680534,-87.76944386354533",01010000204FE58A0071D17FE6B45C3141B3B453F3CBE63C41,,,,
12-00003623,2012-01-02 00:00:00,Front,,2,Open,1,PROBLEM OPEN . AND TREE HAS NOW FALLEN ON CALLERS PROPERTY,Vacant,1,,0,1,1,2124,W,119TH,ST,60643,2124 W 119TH ST chicago IL 60643,1164401.87997245,1825693.32009087,41.6773103082936,-87.6738769065266,"41.6773103082936,-87.67387690652657",01010000204FE58A00DEDF45E171C43141AA79F1519DDB3B41,,,,
12-00122350,2012-01-27 00:00:00,Front,,2,Boarded,0,,Vacant,1,,0,,0,9725,,MERRILL,AVE,60628,9725  MERRILL AVE chicago IL 60628,,,,,",",,,,,
12-00591386,2012-03-09 00:00:00,,,2,,2,,,2,,0,,0,3940,S,ARCHER,AVE,60632,3940 S ARCHER AVE chicago IL 60632,1159230.67878536,1878376.33389645,41.8219877734749,-87.6913664507815,"41.82198777347488,-87.6913664507815",01010000204FE58A009AE0C4AD3EB03141DD3C7A5568A93C41,58,BRIGHTON PARK,21,Brighton Park
12-00686960,2012-03-29 00:00:00,Front,,2,Open,1,,Vacant,1,,0,,0,9139,S,WESTERN,AVE,60643,9139 S WESTERN AVE chicago IL 60643,1161971.40226886,1843964.44542056,41.7275001502263,-87.6822676640645,"41.7275001502263,-87.68226766406454",01010000204FE58A008E17FB66F3BA3141F2140772FC223C41,,,,
