request_number,date_received,location_on_lot,dangerous_or_hazardous,dangerous,open_or_boarded,open,entry_point,vacant_or_occupied,vacant_flag,vacant_due_to_fire,fire_flag,people_using_property,in_use_flag,address_street_num,address_street_dir,address_street_name,address_street_suffix,zip_code,full_address,x_coordinate,y_coordinate,latitude,longitude,location,the_geom,area_number,community_area,neigh_number,neighborhood
11-03623610,2011-08-18 00:00:00,Front,,2,Open,1,FRONT AND REAR DOOR,Vacant,1,,0,1,1,6865,S,RIDGELAND,AVE,60649,6865 S RIDGELAND AVE chicago IL 60649,1189049.88013116,1859800.55547182,41.7703510682612,-87.5825696989784,"41.7703510682612,-87.58256969897843",01010000204FE58A00944650E1B9243241B566338ED8603C41,43,SOUTH SHORE,188,South Shore
11-03635092,2011-08-22 00:00:00,Front,,2,Open,1,,Vacant,1,1,1,,0,6930,S,SOUTH SHORE,DR,60649,6930 S SOUTH SHORE DR chicago IL 60649,1193427.24711478,1859474.92986739,41.7693515535838,-87.5665349833254,"41.76935155358375,-87.5665349833254",01010000204FE58A000AEA423FD33532410ECA0BEE925F3C41,43,SOUTH SHORE,188,South Shore
11-03942377,2011-10-12 00:00:00,Rear,,2,Open,1,,Vacant,1,,0,1,1,6901,S,EAST END,AVE,60649,6901 S EAST END AVE chicago IL 60649,1188968.80292176,1859568.47046797,41.7697161495289,-87.5828743135225,"41.76971614952891,-87.58287431352251",01010000204FE58A00CC478CCD68243241C1967078F05F3C41,43,SOUTH SHORE,188,South Shore
11-04256662,2011-12-14 00:00:00,Front,,2,Open,1,,Vacant,1,,0,,0,6914,S,CORNELL,AVE,60649,6914 S CORNELL AVE chicago IL 60649,1188545.09989999,1859471.12999705,41.7694591736255,-87.5844305045947,"41.7694591736255,-87.58443050459472",01010000204FE58A00B60B9319C1223241967C47218F5F3C41,43,SOUTH SHORE,188,South Shore
12-00111318,2012-01-25 00:00:00,,,2,,2,,,2,,0,,0,6853,S,RIDGELAND,AVE,60649,6853 S RIDGELAND AVE chicago IL 60649,1189047.68013116,1859879.35547182,41.7705673546462,-87.5825752417874,"41.77056735464622,-87.58257524178735",01010000204FE58A0061131DAEB72432418233005B27613C41,43,SOUTH SHORE,188,South Shore
12-00699055,2012-03-31 00:00:00,Front,,2,Open,1,N,Vacant,1,,0,,0,6909,S,CORNELL,AVE,60649,6909 S CORNELL AVE chicago IL 60649,1188544.19989999,1859504.62999705,41.7695511219422,-87.5844327343171,"41.769551121942236,-87.5844327343171",01010000204FE58A0050A52C33C0223241967C47A1B05F3C41,43,SOUTH SHORE,188,South Shore
11-00011527,2011-01-03 00:00:00,Front,,2,Open,1,,Vacant,1,,0,,0,2810,E,78TH,ST,60649,2810 E 78TH ST chicago IL 60649,1196178.71040557,1853785.72922427,41.7536722323384,-87.5566378949785,"41.75367223233837,-87.55663789497852",01010000204FE58A00B223DDB5924032411771AEBA59493C41,43,SOUTH SHORE,188,South Shore
11-00032246,2011-01-07 00:00:00,Front,,2,Open,1,,Vacant,1,,0,,0,2910,E,78TH,PL,60649,2910 E 78TH PL chicago IL 60649,1197274.13939926,1853419.58947748,41.7526403115273,-87.5526358016147,"41.75264031152734,-87.55263580161471",01010000204FE58A007FABAF23DA44324102FFE796EB473C41,43,SOUTH SHORE,188,South Shore
11-00032251,2011-01-07 00:00:00,Front,,2,Open,1,,Vacant,1,,0,,0,2915,E,78TH,PL,60649,2915 E 78TH PL chicago IL 60649,1197309.33939926,1853448.08947748,41.7527176410086,-87.5525058632473,"41.75271764100863,-87.55250586324728",01010000204FE58A00B2DEE256FD44324102FFE71608483C41,43,SOUTH SHORE,188,South Shore
11-00032252,2011-01-07 00:00:00,Front,,2,Open,1,,Vacant,1,,0,,0,2921,E,78TH,PL,60649,2921 E 78TH PL chicago IL 60649,1197351.63939926,1853482.28947748,41.7528104346927,-87.5523497169249,"41.75281043469275,-87.55234971692492",01010000204FE58A007FABAFA32745324136321B4A2A483C41,43,SOUTH SHORE,188,South Shore
11-00071853,2011-01-14 00:00:00,Front,,2,Boarded,0,FRONT DOOR,Vacant,1,,0,1,1,7818,S,MUSKEGON,AVE,60649,7818 S MUSKEGON AVE chicago IL 60649,1196480.80377419,1853674.09149657,41.7533584011523,-87.5555345527679,"41.75335840115226,-87.55553455276788",01010000204FE58A003325C4CDC0413241B8516C17EA483C41,43,SOUTH SHORE,188,South Shore
11-00102743,2011-01-21 00:00:00,Front,,2,Open,1,,Vacant,1,,0,1,1,7834,S,COLES,AVE,60649,7834 S COLES AVE chicago IL 60649,1197426.01251479,1853805.44199924,41.7536953352448,-87.5520664221378,"41.75369533524482,-87.55206642213778",01010000204FE58A00562B340372453241B9DC26716D493C41,43,SOUTH SHORE,188,South Shore
11-00123965,2011-01-25 00:00:00,Front,,2,Open,1,"FRONT AND REAR DOORS ON ALL SIDES OF THE BUILDING IS OPEN AND WINDOWS ARE ALL BROKEN OUT, CALLER STATES THERE WERE PEOPLE INSIDE THE BUILDING",Vacant,1,,0,1,1,2109,E,79TH,ST,60649,2109 E 79TH ST chicago IL 60649,1191668.96281585,1853005.6510322,41.7516421632395,-87.5731894643269,"41.751642163239524,-87.57318946432693",01010000204FE58A007C197BF6F42E3241D80BAAA64D463C41,43,SOUTH SHORE,188,South Shore
11-00281048,2011-02-17 00:00:00,Front,,2,Open,1,,Vacant,1,,0,1,1,7801,S,YATES,BLVD,60649,7801 S YATES BLVD chicago IL 60649,1193551.45161471,1853709.48322331,41.753527689013,-87.5662681641753,"41.753527689012955,-87.56626816417534",01010000204FE58A008A059D734F363241D985B47B0D493C41,43,SOUTH SHORE,188,South Shore
11-00281486,2011-02-17 00:00:00,Front,,2,Open,1,,Vacant,1,,0,1,1,2912,E,78TH,PL,60649,2912 E 78TH PL chicago IL 60649,1197288.23939926,1853430.98947748,41.7526712428399,-87.552583753015,"41.752671242839895,-87.55258375301497",01010000204FE58A001845493DE844324169654EFDF6473C41,43,SOUTH SHORE,188,South Shore
